Age,DistanceFromHome,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,Education_Below College,Education_College,Education_Doctor,Education_Master,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
51,6,1,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,10,1,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,17,4,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
38,2,3,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
32,10,1,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
46,8,4,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,11,2,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
29,18,2,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
31,1,3,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
25,7,4,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
45,17,2,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
36,28,1,33770,0.0,12,2,16.0,2,15,10,11,3,3,2.7236031927023947,4.0,3.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
55,14,1,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,1,1,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
28,1,1,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
37,1,2,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
21,3,1,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
37,1,2,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
35,7,1,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38,8,1,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1,2,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
50,8,1,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
53,11,2,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42,4,1,89260,1.0,14,0,11.279936378095888,4,20,11,6,1,3,2.0,3.0,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
29,16,1,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
55,1,1,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
26,9,1,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37,5,1,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
44,1,2,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
38,2,1,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,4,3,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
28,7,1,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
49,1,2,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
36,5,3,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
31,9,1,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
26,8,2,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
37,9,1,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
42,2,3,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
18,1,1,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
35,20,1,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
36,8,3,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,2.728246013667426,3.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
